					Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio
					count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max
method	ckpt_intvl	sfs_bw	bb_bw	sys_mtbf																																																												
No_bb	1h	40000000000.0	10000000000.0	43200	100.0	0.7225037794023399	0.0495929067690388	0.591342986432167	0.6514656274425147	0.6915231796300081	0.7336210300918062	0.7574061327137945	0.7777620414372112	0.8184814925088494	100.0	0.003724929005327893	0.0008433619144866849	0.0023085141636384485	0.0027664956042736362	0.003110956562251183	0.0036154861505869936	0.004074781210824065	0.004950528672305076	0.006340043468361773	100.0	0.000593288670167915	7.793679097654668e-05	0.00036398395341666974	0.0004942129564568096	0.0005457357890113432	0.0005849890540075625	0.0006520398456639673	0.000699474129977386	0.0007517805753226798	100.0	0.0007444493311187874	0.002601637220860229	7.952752731012502e-05	0.00019288363258029625	0.00027223255427449454	0.00033468673754997617	0.00048009721794388773	0.0007204973447358514	0.022915505529603787	100.0	0.0013377380012867023	0.0026050947294095216	0.000649560826008501	0.0007372905347401461	0.0008309189998128765	0.0009254688646040995	0.001125345257982623	0.0013027236626993565	0.02353816758225034	100.0	0.7262287084076676	0.04968874512916793	0.5961721447109731	0.6551817756588654	0.695270759296494	0.7363992560328637	0.7608451018930196	0.7833372465909308	0.8214466892463492
No_bb	1h	40000000000.0	10000000000.0	46800	100.0	0.7141806992024544	0.055322898058175994	0.508595684312719	0.641905626364129	0.6774127607919098	0.7188136531840491	0.7554509132140974	0.7795355971062704	0.8240739984524614	100.0	0.0037393745595108692	0.0008813300684138378	0.0020920522729949396	0.0028920821268551876	0.003160451234120232	0.003568358093700451	0.004199326365120916	0.004909692390289891	0.006390475527936106	100.0	0.0005561810744841744	7.034202914512297e-05	0.00036242345857335085	0.0004796417330157406	0.000515861004284587	0.0005613941532574623	0.0005944717875495456	0.0006441135892809875	0.0007131360342549844	100.0	0.0009572755365105387	0.003461373673314245	6.50280008437763e-05	0.00018388264465826813	0.00024358668168792736	0.00029875982215902354	0.0004497083818688249	0.0006303751063108742	0.021209357303656178	100.0	0.0015134566109947126	0.0034577262412516345	0.0005503054374810516	0.0006844833862772357	0.000783285270659059	0.0008889030074322063	0.0010461415094399134	0.0012242320301699102	0.021795405278706288	100.0	0.7179200737619655	0.055464538865050546	0.5118867980503251	0.6453422920656003	0.6815400902070764	0.7231509666468001	0.7594766033008407	0.7848668537605107	0.8275869669491153
No_bb	1h	40000000000.0	10000000000.0	50400	100.0	0.7384516796411543	0.04253597848056566	0.5884095207531576	0.6881070735096352	0.7112006999776826	0.7404218517335618	0.7641011523146657	0.7896032098385041	0.8437969374888581	100.0	0.003423045276758701	0.000747650292613609	0.0017344032741294908	0.00245959590254672	0.002943664462966387	0.003492723341601354	0.0039750721999729085	0.004285997935072537	0.00544691768440037	100.0	0.0005487830053471008	7.408727352533237e-05	0.00034911647953555304	0.00046157842002177125	0.0004974667569560427	0.0005469225040190932	0.0005979643634520431	0.0006301902227321833	0.0007271328594579481	100.0	0.0005397560390809692	0.0022073764198843214	8.483114204240395e-05	0.00017182980842088728	0.00022234782667755382	0.0002935028844481875	0.00037895786908313746	0.0004881636141746803	0.022336406244396322	100.0	0.0010885390444280694	0.002201011653696396	0.0004980134144011764	0.0006682116263474393	0.0007481596627616361	0.0008719143840461642	0.0009481447893533674	0.001057671679790393	0.022810853167278	100.0	0.7418747249179128	0.04266575388080626	0.5911410903972493	0.6907045566491389	0.7146901577938165	0.7441596061111306	0.768044025161247	0.7934754338897857	0.8463683479520695
No_bb	1h	40000000000.0	10000000000.0	54000	100.0	0.7307310512725613	0.05009652275429791	0.6179524589900659	0.6496332502656894	0.6994727765527374	0.7400241045811691	0.7626514996883704	0.7876585053240976	0.8467037576231837	100.0	0.003324566356846282	0.0007502102912484942	0.0014457512031752027	0.0023290925673053833	0.002776139846216822	0.0033816801260913723	0.0038001631742020027	0.004223494911976512	0.005128756084779562	100.0	0.0005119559899258773	7.754635373128231e-05	0.0003499536994659392	0.0004075252638833626	0.00045435105499017255	0.0005159561270969403	0.0005720823070900744	0.0006080617257063184	0.0007068168347056359	100.0	0.0007397335940784928	0.0030705726601696487	1.6461121199591687e-05	0.0001308559787051995	0.0002032275693907755	0.00027562161203242516	0.0003827252869077482	0.0005295379704396363	0.024116453780321602	100.0	0.0012516895840043699	0.0030779662977536396	0.0004903203606856921	0.000583373775299064	0.0006696875748829184	0.0008016037353779384	0.0009351133699225307	0.0010560007225332041	0.02471449205391035	100.0	0.7340556176294075	0.050274293518178186	0.6224369775024086	0.6527243757908339	0.7031451236455616	0.744608840653814	0.7662920928461527	0.7915531946255444	0.8496955072713649
No_bb	1h	40000000000.0	10000000000.0	57600	100.0	0.7385878053147346	0.0439828427068834	0.6294073618233016	0.6840588104192391	0.7098910781216367	0.7422498337282872	0.7697648604786083	0.7907963841097183	0.8425166091621294	100.0	0.0031877125700847343	0.0006581697052841555	0.002011465604868788	0.0024295868671326275	0.0026358672508379416	0.003178693091696672	0.0036540296438238784	0.003966638081149371	0.005448565013934714	100.0	0.0005052950415720677	7.663316895729109e-05	0.00032628204567073694	0.0004087719656433582	0.0004476743607187366	0.0005041384755824167	0.000561499871365384	0.0005930219058976831	0.0006649470973969121	100.0	0.0015174258793976608	0.004671751736734036	7.025852527723248e-05	0.00013184913688859686	0.00021366984939990465	0.00027637099304886055	0.00037369923964319614	0.0005894598859273592	0.021262011012972964	100.0	0.0020227209209697284	0.004674497463952627	0.00042815238650912484	0.0006040253756252967	0.0006975430633752044	0.0008161847227390101	0.0009197140010079953	0.0011375294470657897	0.021765718581966412	100.0	0.7417755178848193	0.04418112477579923	0.631721489016839	0.686860215465237	0.7128867788427262	0.7451765788077565	0.7730913852337387	0.793064144907292	0.8468459393076094
No_bb	1h	40000000000.0	10000000000.0	61200	100.0	0.7496323582984818	0.05297437385123346	0.5527870991285603	0.6788169233011416	0.7224325142397829	0.7525759654587796	0.7920159058735078	0.8095259114235261	0.8429898782939846	100.0	0.003086069172171678	0.0007033726903057243	0.0018415544799967587	0.002169624184176458	0.0025867511682195633	0.0030408625763914563	0.0034632856264456614	0.004039251102196406	0.005609926602464996	100.0	0.00046348509498114114	7.58141947899705e-05	0.00034116720530228426	0.00036781830776471227	0.0004052450430344238	0.0004542333884625555	0.0005184491169580523	0.0005607020289452696	0.0006712098080961731	100.0	0.0009998575652056415	0.0036554443378312568	3.2160156668006236e-05	0.00013208984744060817	0.0001785735238291542	0.00026180258540471797	0.00032011499818125264	0.0004191389163503063	0.02229460289888091	100.0	0.0014633426601867825	0.0036594347819566184	0.00039869926242803457	0.0005461350789924952	0.000615314514331474	0.000735331770872587	0.0008056676217949707	0.000961216570237995	0.02269118521988196	100.0	0.7527184274706538	0.05306945582541768	0.5571419227889836	0.682383306669255	0.726056177430995	0.7553550689383917	0.7949337751924754	0.8135038647779194	0.846459337183836
No_bb	1h	40000000000.0	10000000000.0	64800	100.0	0.7452751877138489	0.05523995965111173	0.5821800820669476	0.663271958959558	0.7167652641549052	0.7553604882196223	0.7873636832366437	0.8020015205875364	0.8694773325885502	100.0	0.00296133730988375	0.0006628517137342231	0.001711973336981881	0.0021645598675506202	0.0025010085003448054	0.002928373769699918	0.0032634018300478386	0.0038758287533716953	0.0048555357178996636	100.0	0.0004602830202134919	7.9192886254e-05	0.0002857886216802373	0.0003646858785860346	0.0004000226977558957	0.0004546935185286208	0.0005193513137023249	0.000556563097535579	0.0006827680692030413	100.0	0.0006840442376487034	0.002508322456320266	2.1355055008490525e-05	0.00012740111700746635	0.00020104277571309225	0.0002613110656830644	0.0003260797270409617	0.00047190037468356833	0.019344292530966176	100.0	0.0011443272578621957	0.0025089550324504223	0.0004417394679809145	0.0005537989542473442	0.0006056932613997033	0.0007289297777238887	0.0008415501938363146	0.0009565139709788444	0.019744214971742106	100.0	0.7482365250237331	0.055273560640124404	0.5848676693374659	0.6655956865963157	0.7198385119129544	0.7584945956777313	0.7898842020635657	0.8054635606702049	0.8725801853310003
No_bb	1h	40000000000.0	10000000000.0	68400	100.0	0.75127560352651	0.05173900310741796	0.5561491088625197	0.6816817505701079	0.7191107018658447	0.756978845549667	0.7909414656181826	0.8136461208054381	0.8471851429981985	100.0	0.002895398053894821	0.0006101984074881769	0.0017994157697360904	0.0021639581820612594	0.00246580004630573	0.002807691164257945	0.003275266625636338	0.0037820490248863894	0.004346519450396598	100.0	0.00044418619649131373	7.869840588747383e-05	0.0002830945022100543	0.00032296850330303654	0.00039202959679737005	0.00045143991494655384	0.0005028784669115129	0.0005427554383877962	0.0006214911763788059	100.0	0.0006721754292082936	0.0028212099817584127	3.0594099319993546e-05	0.00012716058149275867	0.00018203675805203656	0.00023680638271890065	0.00032905322741014377	0.00046555347903131327	0.020353151246969882	100.0	0.0011163616256996067	0.0028251566837779593	0.00036728640998464306	0.0005078776432242235	0.0005931436416004762	0.000709657775265569	0.0008110737688667185	0.0009797478332984571	0.020827044077118925	100.0	0.7541710015804054	0.05179400224947724	0.5597682026595098	0.6840628840838215	0.7222284373956627	0.7602908759729099	0.7941568471947671	0.815680420907727	0.8497194952476881
No_bb	1h	40000000000.0	10000000000.0	72000	100.0	0.7579871582608187	0.05741196575225242	0.5878470365607684	0.6763706937081441	0.7280667829494546	0.763922804631275	0.7983573879452375	0.8252915749602721	0.8602918673901654	100.0	0.0028911611605611388	0.0006074313756027933	0.0017165519028750843	0.0021574079871999807	0.0025133769186888783	0.002885318188999876	0.0031640060960364228	0.003594903619249388	0.0049638666014465305	100.0	0.00041287041508180787	7.439096323375995e-05	0.00025505636147501684	0.00032415631279388436	0.0003656928862682703	0.0004065271269389409	0.0004626638575817354	0.0004936866703427038	0.0006488043434757387	100.0	0.0010843361697790955	0.004189449237644163	6.685367530214785e-05	0.00011688098103765337	0.00016557023450223526	0.00022477303636681169	0.00031503596507647156	0.00041331478707641996	0.02256021202841359	100.0	0.0014972065848609028	0.004189958558831771	0.00035246151373878354	0.00047426748679010834	0.0005457001681515942	0.0006264244917002745	0.0007470152251802854	0.0009023976531519642	0.023004303769306993	100.0	0.7608783194213796	0.057427692288694154	0.5906552000518027	0.6799955844752765	0.7310503767757531	0.7667304373387516	0.8013772173034617	0.82835729798804	0.86278400235087
No_bb	1h	40000000000.0	10000000000.0	75600	100.0	0.7644826776368836	0.051325124557746835	0.6131768287744742	0.6958225581017164	0.7286840414650035	0.7714909218100354	0.799870137016607	0.8208310764789746	0.9002731558050175	100.0	0.002913723217792973	0.0006938081048275697	0.0014388918491087127	0.001991145884208853	0.002425981247763651	0.002914534691776793	0.0032863286026136996	0.003772301057581787	0.005469533580095822	100.0	0.0004040895913511137	8.153400846310982e-05	0.0002270506878911597	0.00030662065024055255	0.0003509455847831604	0.0003971743433732174	0.00046625874611985036	0.0004927006289577635	0.000646330979753388	100.0	0.0010412913513599912	0.004096525359350444	1.2647206853337325e-05	7.408460775181459e-05	0.0001334898350079318	0.00021862482965286735	0.00027623475316509793	0.000332562665274095	0.022553220953761895	100.0	0.0014453809427111058	0.00409222922727118	0.00027234078933138827	0.00044205231367036834	0.0005176384547449349	0.0006170748220898484	0.0007148544362367366	0.0008090628692390346	0.02286272544040628	100.0	0.7673964008546768	0.05136656881623372	0.6154446422630102	0.6986230291956284	0.7318006864739485	0.7742043535550601	0.8027588936296306	0.8235840416806869	0.9026695733820432
