bandwidth,runtype,ratio,MTBF
4.9375e+12,PropDaly,0.794314,3.1536e+08
7.1875e+12,Prop1h,0.807148,3.1536e+08
6.0625e+12,PropDaly,0.797941,3.1536e+08
4.9375e+12,FCFS1h,0.786727,3.1536e+08
4.9375e+12,FCFSDaly,0.788871,3.1536e+08
1.07031e+13,Prop1h,0.798992,3.1536e+08
9.4375e+12,PropDaly,0.791129,3.1536e+08
9.4375e+12,FCFS1h,0.796596,3.1536e+08
1.21094e+13,Prop1h,0.789832,3.1536e+08
1.21094e+13,PropDaly,0.795234,3.1536e+08
2.05469e+13,Prop1h,0.800959,3.1536e+08
1.77344e+13,PropDaly,0.795473,3.1536e+08
1.21094e+13,Prop1h,0.797862,3.1536e+08
1.07031e+13,PropDaly,0.794877,3.1536e+08
7.1875e+12,Prop1h,0.791743,3.1536e+08
8.3125e+12,PropDaly,0.79617,3.1536e+08
9.4375e+12,Prop1h,0.79497,3.1536e+08
9.4375e+12,PropDaly,0.809417,3.1536e+08
7.1875e+12,FCFS1h,0.786723,3.1536e+08
6.0625e+12,Prop1h,0.799833,3.1536e+08
4.9375e+12,PropDaly,0.802711,3.1536e+08
8.3125e+12,Prop1h,0.807455,3.1536e+08
7.1875e+12,PropDaly,0.795707,3.1536e+08
6.0625e+12,FCFS1h,0.802728,3.1536e+08
8.3125e+12,Prop1h,0.805965,3.1536e+08
9.4375e+12,Prop1h,0.805403,3.1536e+08
9.4375e+12,Prop1h,0.808884,3.1536e+08
8.3125e+12,PropDaly,0.798925,3.1536e+08
7.1875e+12,Prop1h,0.805126,3.1536e+08
6.0625e+12,PropDaly,0.800135,3.1536e+08
1.07031e+13,Prop1h,0.811969,3.1536e+08
8.3125e+12,Prop1h,0.806301,3.1536e+08
7.1875e+12,PropDaly,0.807303,3.1536e+08
7.1875e+12,Prop1h,0.804219,3.1536e+08
6.0625e+12,PropDaly,0.795163,3.1536e+08
8.3125e+12,Prop1h,0.813961,3.1536e+08
7.1875e+12,PropDaly,0.808064,3.1536e+08
7.1875e+12,Prop1h,0.787426,3.1536e+08
7.1875e+12,PropDaly,0.801853,3.1536e+08
9.4375e+12,Prop1h,0.800125,3.1536e+08
9.4375e+12,PropDaly,0.806444,3.1536e+08
7.1875e+12,FCFS1h,0.787,3.1536e+08
9.4375e+12,Prop1h,0.80265,3.1536e+08
9.4375e+12,PropDaly,0.789816,3.1536e+08
1.07031e+13,Prop1h,0.78815,3.1536e+08
9.4375e+12,Prop1h,0.811368,3.1536e+08
8.3125e+12,PropDaly,0.79844,3.1536e+08
7.1875e+12,FCFS1h,0.79685,3.1536e+08
1.07031e+13,Prop1h,0.796962,3.1536e+08
1.21094e+13,PropDaly,0.805097,3.1536e+08
7.1875e+12,Prop1h,0.80269,3.1536e+08
6.0625e+12,PropDaly,0.793019,3.1536e+08
8.3125e+12,Prop1h,0.787353,3.1536e+08
1.63281e+13,PropDaly,0.800163,3.1536e+08
1.07031e+13,Prop1h,0.80186,3.1536e+08
9.4375e+12,PropDaly,0.797127,3.1536e+08
7.1875e+12,Prop1h,0.823993,3.1536e+08
6.0625e+12,PropDaly,0.820431,3.1536e+08
8.3125e+12,Prop1h,0.801018,3.1536e+08
8.3125e+12,PropDaly,0.807625,3.1536e+08
9.4375e+12,Prop1h,0.797765,3.1536e+08
8.3125e+12,Prop1h,0.805564,3.1536e+08
8.3125e+12,Prop1h,0.802094,3.1536e+08
9.4375e+12,Prop1h,0.790919,3.1536e+08
8.3125e+12,Prop1h,0.786216,3.1536e+08
6.0625e+12,Prop1h,0.807948,3.1536e+08
7.1875e+12,Prop1h,0.799489,3.1536e+08
9.4375e+12,Prop1h,0.80867,3.1536e+08
9.4375e+12,Prop1h,0.796675,3.1536e+08
9.4375e+12,Prop1h,0.799689,3.1536e+08
9.4375e+12,Prop1h,0.803957,3.1536e+08
8.3125e+12,Prop1h,0.805876,3.1536e+08
6.0625e+12,Prop1h,0.795661,3.1536e+08
1.07031e+13,Prop1h,0.813996,3.1536e+08
8.3125e+12,Prop1h,0.764619,3.1536e+08
7.1875e+12,Prop1h,0.796126,3.1536e+08
6.0625e+12,Prop1h,0.809943,3.1536e+08
8.3125e+12,Prop1h,0.789897,3.1536e+08
1.21094e+13,Prop1h,0.794574,3.1536e+08
4.9375e+12,Prop1h,0.779265,3.1536e+08
1.21094e+13,Prop1h,0.801298,3.1536e+08
9.4375e+12,Prop1h,0.802098,3.1536e+08
1.07031e+13,Prop1h,0.799966,3.1536e+08
7.1875e+12,Prop1h,0.796558,3.1536e+08
6.0625e+12,PropDaly,0.79279,3.1536e+08
9.4375e+12,Prop1h,0.80214,3.1536e+08
8.3125e+12,PropDaly,0.794261,3.1536e+08
1.07031e+13,Prop1h,0.796292,3.1536e+08
9.4375e+12,Prop1h,0.797258,3.1536e+08
1.07031e+13,PropDaly,0.81231,3.1536e+08
1.07031e+13,Prop1h,0.803537,3.1536e+08
1.07031e+13,PropDaly,0.802651,3.1536e+08
8.3125e+12,Prop1h,0.807707,3.1536e+08
8.3125e+12,PropDaly,0.81441,3.1536e+08
6.0625e+12,Prop1h,0.784906,3.1536e+08
4.9375e+12,PropDaly,0.782346,3.1536e+08
8.3125e+12,Prop1h,0.802423,3.1536e+08
8.3125e+12,Prop1h,0.80065,3.1536e+08
8.3125e+12,Prop1h,0.803589,3.1536e+08
9.4375e+12,Prop1h,0.802418,3.1536e+08
6.0625e+12,Prop1h,0.792789,3.1536e+08
8.3125e+12,Prop1h,0.777786,3.1536e+08
7.1875e+12,Prop1h,0.802942,3.1536e+08
1.07031e+13,Prop1h,0.779588,3.1536e+08
1.21094e+13,PropDaly,0.80981,3.1536e+08
6.0625e+12,Prop1h,0.792267,3.1536e+08
4.9375e+12,PropDaly,0.794376,3.1536e+08
4.9375e+12,FCFS1h,0.814028,3.1536e+08
8.3125e+12,Prop1h,0.803118,3.1536e+08
7.1875e+12,PropDaly,0.798325,3.1536e+08
6.0625e+12,FCFS1h,0.791797,3.1536e+08
6.0625e+12,Prop1h,0.796304,3.1536e+08
4.9375e+12,PropDaly,0.79594,3.1536e+08
7.1875e+12,Prop1h,0.804103,3.1536e+08
6.0625e+12,PropDaly,0.786137,3.1536e+08
6.0625e+12,FCFS1h,0.798838,3.1536e+08
7.1875e+12,Prop1h,0.797112,3.1536e+08
6.0625e+12,PropDaly,0.790997,3.1536e+08
7.1875e+12,Prop1h,0.80903,3.1536e+08
6.0625e+12,PropDaly,0.780275,3.1536e+08
4.9375e+12,FCFS1h,0.801869,3.1536e+08
6.0625e+12,Prop1h,0.807396,3.1536e+08
4.9375e+12,PropDaly,0.799837,3.1536e+08
4.9375e+12,FCFS1h,0.81223,3.1536e+08
8.3125e+12,Prop1h,0.806855,3.1536e+08
7.1875e+12,PropDaly,0.802264,3.1536e+08
6.0625e+12,FCFS1h,0.795222,3.1536e+08
6.0625e+12,FCFSDaly,0.78627,3.1536e+08
6.0625e+12,Prop1h,0.793721,3.1536e+08
6.0625e+12,PropDaly,0.805315,3.1536e+08
3.8125e+12,FCFS1h,0.790398,3.1536e+08
9.4375e+12,Prop1h,0.78622,3.1536e+08
9.4375e+12,PropDaly,0.798989,3.1536e+08
8.3125e+12,FCFS1h,0.796876,3.1536e+08
4.9375e+12,Prop1h,0.777231,3.1536e+08
4.9375e+12,PropDaly,0.805962,3.1536e+08
8.3125e+12,Prop1h,0.792751,3.1536e+08
8.3125e+12,PropDaly,0.811846,3.1536e+08
7.1875e+12,FCFS1h,0.80227,3.1536e+08
7.1875e+12,FCFSDaly,0.806303,3.1536e+08
7.1875e+12,Prop1h,0.802073,3.1536e+08
6.0625e+12,PropDaly,0.794956,3.1536e+08
6.0625e+12,FCFS1h,0.806149,3.1536e+08
4.9375e+12,FCFSDaly,0.799005,3.1536e+08
1.21094e+13,Prop1h,0.79824,3.1536e+08
1.21094e+13,PropDaly,0.817199,3.1536e+08
7.1875e+12,Prop1h,0.796245,3.1536e+08
