	ckpt_intvl	sfs_bw	bb_bw	sys_mtbf	low_bound	avg	high_bound
75	1h	130000000000.0	10000000000.0	75600.0	0.000200797437413536	-0.00021961269006116066	0.0005797996942129482
76	1h	130000000000.0	10000000000.0	72000.0	0.00019136272656337678	-6.520470212362185e-05	0.00035112556056705446
77	1h	130000000000.0	10000000000.0	68400.0	0.0001877504772891368	0.00017083255269031798	0.0006518225246068699
78	1h	130000000000.0	10000000000.0	64800.0	0.00014348229337790563	-0.00019637260202119906	0.0005690928774676303
79	1h	130000000000.0	10000000000.0	61200.0	0.00013003256946858858	1.3286760285954467e-05	0.0005657977977055781
80	1h	130000000000.0	10000000000.0	57600.0	8.109453784072799e-05	0.00023385403089358936	0.0005086161437740939
81	1h	130000000000.0	10000000000.0	54000.0	7.160625142669142e-05	0.00018452685102222813	0.000522238378646504
82	1h	130000000000.0	10000000000.0	50400.0	3.472417905385733e-05	0.00015419018467676402	0.00045849835974351785
83	1h	130000000000.0	10000000000.0	46800.0	-1.0761302688117925e-05	-0.0002392129037859798	0.0005881065965156328
84	1h	130000000000.0	10000000000.0	43200.0	-1.4911038032864015e-05	0.000207435730235462	0.0005949240685080162
85	1h	130000000000.0	10000000000.0	39600.0	-8.647207146044095e-05	8.273186597909264e-05	0.0008260147599753037
86	1h	130000000000.0	10000000000.0	36000.0	-9.856531396920264e-05	0.0002906291071435175	0.0008167507055873617
87	1h	130000000000.0	10000000000.0	32400.0	-0.00011416493508185379	0.00038186778605986816	0.0009230252962713103
88	1h	130000000000.0	10000000000.0	28800.0	-8.618538545189427e-05	0.00021055380619900777	0.0012789213984056383
89	1h	130000000000.0	10000000000.0	25200.0	0.0001081297565727671	0.0007402675521018078	0.0016557429058385593
90	1h	130000000000.0	10000000000.0	21600.0	8.903748253296989e-06	0.0007379363137933043	0.0018709254230408782
91	1h	130000000000.0	10000000000.0	18000.0	0.0003673923146316465	0.0014249194683808358	0.002752918993388251
92	1h	130000000000.0	10000000000.0	14400.0	0.0004987822193784337	0.0023220017194241333	0.004397102128629593
93	1h	130000000000.0	10000000000.0	10800.0	0.002122582569598127	0.0040885450821767635	0.006375758341831964
94	1h	130000000000.0	10000000000.0	7200.0	0.004661465856824341	0.008555047174901695	0.013131015637635935
95	1h	130000000000.0	10000000000.0	3600.0	0.02364170080858599	0.0331108648514643	0.04302553669510863
96	1h	120000000000.0	10000000000.0	86400.0	0.00024525536079112316	0.0002818047331122315	0.0004780900837128801
97	1h	120000000000.0	10000000000.0	82800.0	0.00025255017387045995	0.00036689468422724733	0.0007974701367711317
98	1h	120000000000.0	10000000000.0	79200.0	0.00023047350744998527	3.57135099020205e-05	0.0005587203179173142
99	1h	120000000000.0	10000000000.0	75600.0	0.0002004762682258488	0.0002841383265379414	0.0006926305962373632
100	1h	120000000000.0	10000000000.0	72000.0	0.00018118590009459038	0.00011889498734173097	0.0006553555351085062
101	1h	120000000000.0	10000000000.0	68400.0	0.00014381924398238172	-9.008129601276529e-05	0.0006241178335888843
102	1h	120000000000.0	10000000000.0	64800.0	0.00013606067534604192	-0.0003970771241721779	0.0005706785811971696
103	1h	120000000000.0	10000000000.0	61200.0	0.00015154981916345566	8.211417450747953e-05	0.0007834600663701794
104	1h	120000000000.0	10000000000.0	57600.0	8.666122596476071e-05	-0.0002235360467688157	0.0005535816904322265
105	1h	120000000000.0	10000000000.0	54000.0	7.236626952460547e-05	0.00028122460880700226	0.0007111588207849072
106	1h	120000000000.0	10000000000.0	50400.0	2.2084600808835206e-05	0.0003160121120417798	0.0008292325536168177
107	1h	120000000000.0	10000000000.0	46800.0	4.034192426646431e-05	-2.9220057120518976e-05	0.0008110314535898304
108	1h	120000000000.0	10000000000.0	43200.0	2.3641162359358948e-05	0.0003692047480991922	0.0009507995177393353
109	1h	120000000000.0	10000000000.0	39600.0	-1.913345147247134e-05	0.0004867688091398071	0.0011716723524179697
110	1h	120000000000.0	10000000000.0	36000.0	-4.8028530752479816e-05	0.0005189157606796307	0.0011747102447279708
111	1h	120000000000.0	10000000000.0	32400.0	-3.937726980276319e-05	0.0005754953067864639	0.001390202590082137
112	1h	120000000000.0	10000000000.0	28800.0	3.994629975933694e-05	0.0005517667833623543	0.0019726788794198185
113	1h	120000000000.0	10000000000.0	25200.0	1.4438730007451704e-05	0.0008787948878166026	0.0021019063095107267
114	1h	120000000000.0	10000000000.0	21600.0	0.00018640437934934278	0.0011815127909038986	0.002736004501725127
115	1h	120000000000.0	10000000000.0	18000.0	0.0008464858659148341	0.0021309738269060666	0.0033771847193775186
116	1h	120000000000.0	10000000000.0	14400.0	0.0010464595547564051	0.0029887219373987534	0.004923631545142522
117	1h	120000000000.0	10000000000.0	10800.0	0.0034569059543581113	0.0055764816534044255	0.008153868108476516
118	1h	120000000000.0	10000000000.0	7200.0	0.007118912957587284	0.012192552042456553	0.01669014178911405
119	1h	120000000000.0	10000000000.0	3600.0	0.02682171454605025	0.03934651608457497	0.049607835001909434
120	1h	110000000000.0	10000000000.0	86400.0	0.00018738899017930902	-0.00010296897940424525	0.0007726722218064522
121	1h	110000000000.0	10000000000.0	82800.0	0.0001512172447117523	7.336024386468383e-05	0.0006147605721677772
122	1h	110000000000.0	10000000000.0	79200.0	0.0001401496718674292	0.0002170491075784122	0.0006173247616556521
123	1h	110000000000.0	10000000000.0	75600.0	0.00011608270861716472	9.198074381959324e-05	0.000489267801051064
124	1h	110000000000.0	10000000000.0	72000.0	0.0001365396490429023	0.00023945405816191458	0.000693655806327777
125	1h	110000000000.0	10000000000.0	68400.0	0.000146446456736335	0.00022067990148738907	0.0005643615915533158
126	1h	110000000000.0	10000000000.0	64800.0	7.464851633827993e-05	-0.00018168780644899898	0.0005383697938371486
127	1h	110000000000.0	10000000000.0	61200.0	3.20633984566618e-05	-0.00010826932483646342	0.0005252484395092995
128	1h	110000000000.0	10000000000.0	57600.0	1.537514568596501e-05	0.00023419836402172403	0.0006272941274614888
129	1h	110000000000.0	10000000000.0	54000.0	2.8914821908027533e-05	0.0002647202366150549	0.0006733537167339478
130	1h	110000000000.0	10000000000.0	50400.0	-3.6728633168774116e-05	-0.0002827028616774025	0.0005591562253142045
131	1h	110000000000.0	10000000000.0	46800.0	-9.855147785302624e-05	0.0002500619309800808	0.0006912669292303464
132	1h	110000000000.0	10000000000.0	43200.0	4.3669600157200824e-05	0.0001730032128134109	0.000877922946737372
133	1h	110000000000.0	10000000000.0	39600.0	-0.00010301149039403307	0.00019486333749106524	0.00098356705150106
134	1h	110000000000.0	10000000000.0	36000.0	-0.00012712078057754855	0.00047696528540858694	0.0013303449197375019
135	1h	110000000000.0	10000000000.0	32400.0	-1.1705197814466071e-07	0.000533671514230769	0.0011796889592092534
136	1h	110000000000.0	10000000000.0	28800.0	1.20175567742566e-05	0.0008945120276831163	0.002104321238887823
137	1h	110000000000.0	10000000000.0	25200.0	-3.5276335721478496e-05	0.0007178135314728242	0.0019225381400496027
138	1h	110000000000.0	10000000000.0	21600.0	0.0002570971133047063	0.0013095841950059549	0.003051648885261454
139	1h	110000000000.0	10000000000.0	18000.0	0.0009265249989379729	0.001991552971683035	0.003129861577611662
140	1h	110000000000.0	10000000000.0	14400.0	0.0013279472617316837	0.0034316511614064906	0.006151014187806019
141	1h	110000000000.0	10000000000.0	10800.0	0.0034338711813200395	0.006284237065866648	0.009574679399219573
142	1h	110000000000.0	10000000000.0	7200.0	0.008495647967472302	0.012622010661262891	0.01720398151548849
143	1h	110000000000.0	10000000000.0	3600.0	0.029274114899874172	0.04097833671114948	0.053652383918921784
144	1h	100000000000.0	10000000000.0	86400.0	0.00015317450933272309	7.237494343892859e-06	0.0006222456233930436
145	1h	100000000000.0	10000000000.0	82800.0	9.517942179041112e-05	2.4826214942662555e-06	0.0005359224104318091
146	1h	100000000000.0	10000000000.0	79200.0	0.00012048054839895929	0.0002384779834607543	0.0006229149823369028
147	1h	100000000000.0	10000000000.0	75600.0	4.680842307925703e-05	-0.00036310751819895563	0.00048286479202983717
148	1h	100000000000.0	10000000000.0	72000.0	3.849563384592219e-05	-5.113660044645408e-05	0.0006036280214422204
149	1h	100000000000.0	10000000000.0	68400.0	-6.045663915569535e-06	0.0001371816837172496	0.0005476775030754469
150	1h	100000000000.0	10000000000.0	64800.0	-4.5055863369007805e-05	-7.826686577750634e-05	0.0005037501968848205
151	1h	100000000000.0	10000000000.0	61200.0	-2.952062965310158e-05	-9.591215959851537e-05	0.0005794785891309552
152	1h	100000000000.0	10000000000.0	57600.0	-5.862119889814331e-05	0.0001272266522431883	0.0006480372576090279
153	1h	100000000000.0	10000000000.0	54000.0	-8.922921191663314e-05	-7.689564122180927e-05	0.0006049382086973244
154	1h	100000000000.0	10000000000.0	50400.0	-0.00010256627029931375	0.00010789555015510148	0.0004523844571907034
155	1h	100000000000.0	10000000000.0	46800.0	-0.00015047045982052236	0.0002256203121022575	0.000860101936726835
156	1h	100000000000.0	10000000000.0	43200.0	-0.00017814913969214907	5.714726494495184e-05	0.000816912363361468
157	1h	100000000000.0	10000000000.0	39600.0	-0.00015481490561455446	0.00011528623477152712	0.0011589242246825395
158	1h	100000000000.0	10000000000.0	36000.0	-0.0001461714560420604	0.00016907061799273718	0.0010328371297319268
159	1h	100000000000.0	10000000000.0	32400.0	-0.00014920145497994061	0.0005708000978877829	0.001587607265157018
160	1h	100000000000.0	10000000000.0	28800.0	-0.00010188703467106089	0.000556411156817009	0.001406493640209883
161	1h	100000000000.0	10000000000.0	25200.0	0.00010212223064543034	0.0011256361193330187	0.002270214439971512
162	1h	100000000000.0	10000000000.0	21600.0	0.0003722521901784804	0.0014676798695255015	0.0029306948303770945
163	1h	100000000000.0	10000000000.0	18000.0	0.0003607710230519249	0.0019886523125828646	0.0037397544862629484
164	1h	100000000000.0	10000000000.0	14400.0	0.0014693039254544521	0.003711452780337998	0.0058862585897034025
165	1h	100000000000.0	10000000000.0	10800.0	0.002937095537831656	0.005765215783635439	0.008716723375762642
166	1h	100000000000.0	10000000000.0	7200.0	0.009035929718573836	0.013829136665519742	0.019803808758862663
167	1h	100000000000.0	10000000000.0	3600.0	0.035339540740341145	0.04700863613574157	0.060287940863683116
168	1h	90000000000.0	10000000000.0	86400.0	3.7672423118963465e-05	0.0001588111799942615	0.0005477248143115174
169	1h	90000000000.0	10000000000.0	82800.0	1.9591055765724296e-05	-0.00043893951466065107	0.00034080545835193856
170	1h	90000000000.0	10000000000.0	79200.0	2.3606290817803884e-05	-0.00023124612733727587	0.0005832202106342435
171	1h	90000000000.0	10000000000.0	75600.0	1.7622846589731222e-05	0.00016509264277910093	0.0006510736702514052
172	1h	90000000000.0	10000000000.0	72000.0	2.9905468535636496e-06	0.00012041215517440487	0.0004771536977077193
173	1h	90000000000.0	10000000000.0	68400.0	-3.327231813341847e-05	0.00012387517199871937	0.0005146762901013732
174	1h	90000000000.0	10000000000.0	64800.0	-9.934695989354566e-05	-0.0001391196815398424	0.0005402174779244908
175	1h	90000000000.0	10000000000.0	61200.0	-0.00010118118878183391	-6.804669881205e-05	0.0006737707481294168
176	1h	90000000000.0	10000000000.0	57600.0	-0.00011446726731239481	-9.185693549938322e-05	0.0005312299062129697
177	1h	90000000000.0	10000000000.0	54000.0	-0.00019802751894221768	-3.94803489889141e-05	0.0006062740731146376
